tweet_id,retweet_count,favorite_count
892420643555336193,6854,32829
892177421306343426,5165,28380
891815181378084864,3405,21308
891689557279858688,7062,35786
891327558926688256,7571,34211
891087950875897856,2541,17226
890971913173991426,1615,10039
890729181411237888,15397,55193
890609185150312448,3546,23757
890240255349198849,5960,27088
890006608113172480,6005,26221
889880896479866881,4057,23772
889665388333682689,8169,40806
889638837579907072,3637,22970
889531135344209921,1848,12943
889278841981685760,4345,21390
888917238123831296,3677,24842
888804989199671297,3453,21769
888554962724278272,2830,16805
888078434458587136,2834,18524
887705289381826560,4425,25766
887517139158093824,9600,39408
887473957103951883,14701,58469
887343217045368832,8570,28659
887101392804085760,4872,26101
886983233522544640,6170,29482
886736880519319552,2566,10195
886680336477933568,3658,19119
886366144734445568,2559,17983
886267009285017600,4,101
886258384151887873,5150,23789
886054160059072513,90,0
885984800019947520,5493,27782
885528943205470208,5213,30637
885518971528720385,3042,17354
885311592912609280,15103,0
885167619883638784,3591,18654
884925521741709313,14651,65271
884876753390489601,4562,23635
884562892145688576,3806,20651
884441805382717440,4698,23079
884247878851493888,16564,61706
884162670584377345,2445,17374
883838122936631299,2792,18539
883482846933004288,8076,38925
883360690899218434,3008,19321
883117836046086144,5419,31552
882992080364220416,3175,20372
882762694511734784,4014,24058
882627270321602560,4953,23837
882268110199369728,9378,38105
882045870035918850,3986,24921
881906580714921986,2777,20770
881666595344535552,8732,43159
881633300179243008,8,112
881536004380872706,13093,42108
881268444196462592,4364,19794
880935762899988482,2272,14536
880872448815771648,3142,18146
880465832366813184,5102,24297
880221127280381952,3390,22940
880095782870896641,3566,23530
879862464715927552,2862,19095
879674319642796034,9,281
879492040517615616,2570,20050
879415818425184262,36598,90228
879376492567855104,2598,14413
879130579576475649,5594,0
879050749262655488,3854,19192
879008229531029506,2196,16261
878776093423087618,3351,16551
878604707211726852,5784,25655
878404777348136964,1049,0
878316110768087041,5410,0
878281511006478336,1049,6574
878057613040115712,5595,35821
877736472329191424,15471,67290
877556246731214848,3089,19274
877316821321428993,4249,23434
877201837425926144,4522,23156
876838120628539392,2743,17642
876537666061221889,3871,20288
876484053909872640,1957,16051
876120275196170240,3826,23886
875747767867523072,3504,21425
875144289856114688,4073,18838
875097192612077568,4980,23461
875021211251597312,3875,21819
874680097055178752,3827,23775
874434818259525634,11969,0
874296783580663808,3401,22266
874057562936811520,3297,19387
874012996292530176,8402,29172
873580283840344065,3268,20704
873337748698140672,1301,0
873213775632977920,1301,6127
872967104147763200,4461,23339
872820683541237760,3088,12679
872620804844003328,2995,17694
872486979161796608,7490,34908
872122724285648897,6671,29314
871879754684805121,9065,32075
871762521631449091,2908,17319
871515927908634625,2876,17333
871166179821445120,4779,0
871102520638267392,4560,17998
871032628920680449,3159,19559
870804317367881728,5162,28878
870726314365509632,3,101
870656317836468226,2151,10539
870374049280663552,22049,71189
870308999962521604,3474,18873
870063196459192321,6928,31458
869772420881756160,8448,36670
869702957897576449,5286,24260
869596645499047938,2577,13694
869227993411051520,3134,17578
868880397819494401,11994,56284
868639477480148993,1706,0
868622495443632128,4366,22893
868552278524837888,1706,8655
867900495410671616,3493,20937
867774946302451713,6121,29392
867421006826221569,2079,13885
867072653475098625,99,0
867051520902168576,6652,27865
866720684873056260,4051,17329
866686824827068416,2906,16633
866450705531457537,29502,105575
866334964761202691,11969,45252
866094527597207552,7019,0
865718153858494464,4711,22189
865359393868664832,4192,22892
865006731092295680,6521,24294
864873206498414592,7324,27945
864279568663928832,2518,12654
864197398364647424,7406,25915
863907417377173506,3520,17884
863553081350529029,3565,13252
863471782782697472,2039,0
863432100342583297,4468,20620
863427515083354112,80,1916
863079547188785154,934,7689
863062471531167744,2039,7297
862831371563274240,4355,16718
862722525377298433,3023,14875
862457590147678208,4153,17749
862096992088072192,19578,64491
861383897657036800,9073,31409
861288531465048066,3507,14914
861005113778896900,3257,14513
860981674716409858,1819,0
860924035999428608,659,0
860563773140209665,1819,6527
860524505164394496,4489,20558
860276583193509888,2993,16006
860184849394610176,5000,14547
860177593139703809,26079,0
859924526012018688,3490,17044
859851578198683649,3005,13545
859607811541651456,1346,16319
859196978902773760,25707,78234
859074603037188101,11733,29620
858860390427611136,6931,0
858843525470990336,2966,13748
858471635011153920,4176,18909
858107933456039936,2479,13819
857989990357356544,2220,14043
857746408056729600,9149,29949
857393404942143489,1408,5154
857263160327368704,3894,17763
857214891891077121,16,198
857062103051644929,142,0
857029823797047296,3425,16614
856543823941562368,2490,14359
856526610513747968,1615,10485
856288084350160898,14,472
856282028240666624,5463,24536
855862651834028034,21,293
855860136149123072,841,4286
855857698524602368,1811,10516
855851453814013952,15595,40248
855818117272018944,4698,23567
855459453768019968,7154,26364
855245323840757760,5146,0
855138241867124737,36,0
854732716440526848,5241,20104
854482394044301312,5902,25824
854365224396361728,4053,16684
854120357044912130,6452,28299
854010172552949760,2742,14346
853760880890318849,5026,25302
853639147608842240,8685,30711
853299958564483072,3110,13711
852936405516943360,1755,0
852912242202992640,1553,7985
852672615818899456,1870,13209
852553447878664193,3050,14445
852311364735569921,8672,29446
852226086759018497,5946,17797
852189679701164033,1395,10228
851591660324737024,3058,14516
851464819735769094,6167,21614
851224888060895234,5050,18462
850753642995093505,7940,27368
850380195714523136,2279,11676
850333567704068097,298,3090
850145622816686080,3324,14597
850019790995546112,4285,18206
849776966551130114,6677,27075
849668094696017920,4345,0
849412302885593088,2772,14232
849336543269576704,1651,10221
849051919805034497,7445,37755
848690551926992896,3852,22524
848324959059550208,4076,22155
848213670039564288,633,7293
848212111729840128,2658,14564
847978865427394560,2848,0
847971574464610304,382,0
847962785489326080,4485,21127
847842811428974592,1167,4890
847617282490613760,372,6240
